date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2012-03-01,7.6,0,13,,,,6.6,,1023.5,
2012-03-02,10.2,10.2,13.9,0.3,,296.5,20.9,,,
2012-03-03,6.2,-0.8,11.5,0,,,9.7,,,
2012-03-04,3.6,-1.8,9.7,,,,6.1,,1024,
2012-03-05,2.2,-2.3,8.3,,,90.5,7.2,,1022,
2012-03-06,0.1,-4.5,5.6,,,86.3,8.4,,1025.7,
2012-03-07,-0.7,-6,4.5,,,,6,,1030.2,
2012-03-08,0.4,-4,4.2,,,,5.2,,1024.9,
2012-03-09,3.3,-2.5,8.7,,,,5.6,,1034.1,
2012-03-10,4.7,-0.7,10.9,,,,5.7,,,
2012-03-11,6.4,2.5,10.1,,,287.5,15.4,,1021.6,
2012-03-12,7,2.7,11.1,,,330,14.7,,1020.3,
2012-03-13,8.2,1.5,12.5,,,,7.1,,1024.5,
2012-03-14,8.6,6.1,12.8,,,312.4,15.8,,1024.2,
2012-03-15,8.7,10.4,15,,,318.7,11.1,,1027.3,
2012-03-16,8.9,-0.4,18.2,,,,7,,1027.4,
2012-03-17,12.8,3.5,22.1,,,,11.4,,,
2012-03-18,13.8,5.9,21,,,,16.3,,,
2012-03-19,12.7,7.6,17.7,,,267.7,12.8,,1022.5,
2012-03-20,10.8,5.2,16.6,,,,7.3,,1033,
2012-03-21,12,2.6,19.3,,,,7.2,,1033.3,
2012-03-22,12.9,5,20.4,,,,6.2,,1030.8,
2012-03-23,14,6.3,22,,,,5.1,,1026,
2012-03-24,14.7,7.5,22.1,,,,5.2,,1022.9,
2012-03-25,14.9,7.2,21.5,,,,,,,
2012-03-26,11.8,10.2,18.4,,,341.5,9.6,,1026.3,
2012-03-27,11,1.4,16.6,,,274.1,13.6,,1025.7,
2012-03-28,14.6,9.5,20.5,,,310.4,11.9,,1021.3,
2012-03-29,13.4,10.4,18.4,,,,20,,1011,
2012-03-30,9.8,6.7,13.5,0.3,,302.6,23.6,,1006.7,
2012-03-31,10.8,10.4,15.2,0,,288.7,25.2,,1003.1,
2012-04-01,5.1,2.1,9.5,,,294.6,19.8,,1011.1,
2012-04-02,8.8,-1.1,16.4,,,216.9,11.5,,1011.9,
2012-04-03,12.7,3.4,21,,,177.3,9.3,,1008.4,
2012-04-04,16.5,9.2,23.1,,,,15.1,,,
2012-04-05,17.2,9.2,24.6,,,,6.8,,1009,
2012-04-06,13.5,10.7,18.3,6.6,,325.9,10.8,,1006,
2012-04-07,10,6.2,14.8,0,,,8.6,,1002.6,
2012-04-08,5.5,3.6,8.8,8.9,,316,20.6,,1003.3,
2012-04-09,3.7,1.4,8.8,0,,304.1,7.3,,1011.8,
2012-04-10,6.4,-2.5,13.6,,,,8.4,,1012.8,
2012-04-11,12,4.2,20.2,,,,,,,
2012-04-12,9.7,10.2,12.4,,,,9.4,,1002.3,
2012-04-13,11.9,3.2,17.9,,,131.9,7.2,,1004.5,
2012-04-14,11.3,9.9,13,0.5,,33.9,9.2,,997.4,
2012-04-15,13.3,10.1,18,0,,,6.6,,996.2,
2012-04-16,10,10.1,13.5,,,265,12.9,,1003.8,
2012-04-17,9.2,6.8,12.2,,,,10.5,,1008.2,
2012-04-18,10.3,5.9,14.5,0,,,5.6,,1002.3,
2012-04-19,11.7,6.1,16.7,,,,6,,997.5,
2012-04-20,13.6,5.4,20.6,,,,7.8,,998.2,
2012-04-21,12.8,10.4,18.1,1.8,,,6.9,,1004.3,
2012-04-22,12.1,5.1,19.5,0,,196.9,9,,1008.1,
2012-04-23,12.4,6.9,17,,,222.6,8.4,,1010.4,
2012-04-24,14,9.2,20.4,,,173.8,12,,1005.4,
2012-04-25,13.4,9.3,18.8,1.5,,,9.1,,1009.3,
2012-04-26,15.7,7.4,22.5,0,,148.2,10.1,,1015.2,
2012-04-27,18.8,10.2,26.3,,,111.4,9.3,,1018.5,
2012-04-28,21.9,13.3,29.5,,,116,11.1,,1021.7,
2012-04-29,22.4,13.2,29.6,,,144.2,12,,1018.5,
2012-04-30,22.9,12.9,30.8,,,116.3,8.4,,1015.8,
2012-05-01,23.2,14.9,31.6,,,,,,,
2012-05-02,23.9,15.6,32.4,,,25.1,5.4,,1012.3,
2012-05-03,22,14.1,28.3,,,,9.2,,1007.3,
2012-05-04,17.8,15.1,23.1,0.3,,233,10.4,,1005.8,
2012-05-05,18.4,9.6,25.7,0,,,9,,1006.7,
2012-05-06,19,9.9,25.2,,,221.1,10.6,,1009.6,
2012-05-07,14.4,,,1.3,,,,,,
2012-05-08,15.8,10.5,22,8.9,,307.4,6.6,,1017,
2012-05-09,16.4,8.8,24.5,0,,114.5,6.9,,1020.3,
2012-05-10,19.8,10.4,28.1,,,,4.4,,1024,
2012-05-11,21.6,11.9,29.5,,,,5,,1024.8,
2012-05-12,20.6,12.9,31.5,,,,11.8,,1019.1,
2012-05-13,11.9,9.5,16.2,5.1,,348.2,10.4,,1022.4,
2012-05-14,11,8.5,13.1,0,,,10,,1017.1,
2012-05-15,13.1,9.9,17.3,1,,353.3,6.3,,1010.3,
2012-05-16,14.2,11.3,18.9,0,,303.4,13.5,,1007.5,
2012-05-17,12.6,10.4,17,3,,326.6,17.7,,1014.1,
2012-05-18,13.3,6.2,19.9,0,,,5.7,,1018.4,
2012-05-19,16.1,8.1,23.4,,,94.3,5.7,,1017.6,
2012-05-20,20.3,11.5,27.4,,,117,6.9,,1013.5,
2012-05-21,22,15.4,27.7,,,115.7,13,,1008.6,
2012-05-22,18.5,16,24.8,8.4,,97.1,7.6,,1005.7,
2012-05-23,20.7,13.8,27.8,4.3,,,9.8,,1009.4,
2012-05-24,21.3,17.7,26.4,5.6,,,18.6,,,
2012-05-25,18.7,14.2,22.8,0,,,20.9,,,
2012-05-26,17.7,11.6,22.7,,,23.3,9.3,,1017.9,
2012-05-27,17.7,12.6,23.3,,,34.5,9.2,,1016.8,
2012-05-28,14.8,10.9,21.5,,,,6.1,,1012.8,
2012-05-29,14.5,11.2,22.9,,,,5.4,,,
2012-05-30,21.7,10.8,27,,,,15.6,,,
2012-05-31,20.6,14.1,26.1,,,297.1,9.3,,1015.8,
2012-06-01,17.3,13.8,22.2,1,,,13.8,,1012,
2012-06-02,14.6,10.7,17.4,0.5,,,5.1,,1016.2,
2012-06-03,21.9,12.2,29.8,0,,178,9.3,,1011.3,
2012-06-04,21.9,16.9,28.5,,,262,10,,1007.5,
2012-06-05,15.7,11.7,20.5,2.8,,306.2,19.5,,1009.2,
2012-06-06,17,9,23.7,0,,257,8.8,,1012.6,
2012-06-07,21.3,13.2,27.9,,,,4,,1010.6,
2012-06-08,23.6,15.8,30.3,,,187.2,6,,1009.1,
2012-06-09,22.8,17.8,29.1,,,274.2,9.2,,1012.7,
2012-06-10,20.1,16.3,23.5,10.9,,,5,,1010.5,
2012-06-11,18.7,15.6,22.9,1,,,7.5,,1005.2,
2012-06-12,17.5,14.8,21.2,0.8,,,5.9,,1004.1,
2012-06-13,15.9,13.8,20,5.8,,,15.8,,,
2012-06-14,18.4,12.3,24.4,0,,,13.7,,,
2012-06-15,21.9,12,26.8,,,,8.9,,,
2012-06-16,23.6,14.6,30.5,,,,6.4,,1021.4,
2012-06-17,25.8,16.6,32.4,,,109.6,7.3,,1020.4,
2012-06-18,27,19,33.5,,,129.7,7.6,,1018.7,
2012-06-19,26.9,19.6,34.3,,,,8.9,,,
2012-06-20,28.8,21.2,35.3,,,,12.1,,,
2012-06-21,28.4,21.2,34.8,,,,,,,
2012-06-22,24.4,18.9,28.9,14,,,18.6,,,
2012-06-23,24.2,19.4,29.3,0,,,7,,1020.1,
2012-06-24,24,18,30,,,125.7,6.8,,1018.4,
2012-06-25,19,16.1,23.8,0.3,,,7.2,,1013.4,
2012-06-26,19.2,15.4,23.5,15.5,,,12.4,,1017.6,
2012-06-27,19.5,12.4,25.2,0,,,8.6,,1018.8,
2012-06-28,21.5,13,28.5,,,,5.7,,1014.6,
2012-06-29,24.7,16.9,32,,,,8.6,,1014.3,
